******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
convolution_kernel : 0.002937 
convolution_kernel : 0.002690 
convolution_kernel : 0.003085 
convolution_kernel : 0.003526 
convolution_kernel : 0.003494 
convolution_kernel : 0.003474 
convolution_kernel : 0.006266 
convolution_kernel : 0.005331 
convolution_kernel : 0.005344 
convolution_kernel : 0.004788 
convolution_kernel : 0.004242 
convolution_kernel : 0.003421 
convolution_kernel : 0.002951 
convolution_kernel : 0.002851 
convolution_kernel : 0.002791 
convolution_kernel : 0.002931 
convolution_kernel : 0.002865 
convolution_kernel : 0.002914 
convolution_kernel : 0.002875 
convolution_kernel : 0.004039 
convolution_kernel : 0.004107 
convolution_kernel : 0.003643 
convolution_kernel : 0.003603 
convolution_kernel : 0.003415 
convolution_kernel : 0.003469 
convolution_kernel : 0.003096 
convolution_kernel : 0.002507 
convolution_kernel : 0.002604 
convolution_kernel : 0.004261 
convolution_kernel : 0.004643 
convolution_kernel : 0.004728 
convolution_kernel : 0.004691 
convolution_kernel : 0.006012 
convolution_kernel : 0.005354 
convolution_kernel : 0.004844 
convolution_kernel : 0.004811 
convolution_kernel : 0.004806 
convolution_kernel : 0.004703 
convolution_kernel : 0.003635 
convolution_kernel : 0.003241 
convolution_kernel : 0.003212 
convolution_kernel : 0.003242 
convolution_kernel : 0.003156 
convolution_kernel : 0.003365 
convolution_kernel : 0.003396 
convolution_kernel : 0.003294 
convolution_kernel : 0.004062 
convolution_kernel : 0.004392 
convolution_kernel : 0.004098 
convolution_kernel : 0.003942 
convolution_kernel : 0.003617 
convolution_kernel : 0.002931 
convolution_kernel : 0.002928 
convolution_kernel : 0.002800 
convolution_kernel : 0.003283 
convolution_kernel : 0.003352 
convolution_kernel : 0.004920 
convolution_kernel : 0.004794 
convolution_kernel : 0.005747 
convolution_kernel : 0.006540 
convolution_kernel : 0.005618 
convolution_kernel : 0.004742 
convolution_kernel : 0.003764 
convolution_kernel : 0.003833 
convolution_kernel : 0.002981 
convolution_kernel : 0.002879 
convolution_kernel : 0.002782 
convolution_kernel : 0.003250 
convolution_kernel : 0.003187 
convolution_kernel : 0.003803 
convolution_kernel : 0.003779 
convolution_kernel : 0.004295 
convolution_kernel : 0.004289 
convolution_kernel : 0.003892 
convolution_kernel : 0.004374 
convolution_kernel : 0.003862 
convolution_kernel : 0.003277 
convolution_kernel : 0.003218 
convolution_kernel : 0.003259 
convolution_kernel : 0.003344 
convolution_kernel : 0.003298 
convolution_kernel : 0.003106 
convolution_kernel : 0.003578 
convolution_kernel : 0.005973 
convolution_kernel : 0.006248 
convolution_kernel : 0.005684 
convolution_kernel : 0.005490 
convolution_kernel : 0.004561 
convolution_kernel : 0.004082 
convolution_kernel : 0.004025 
convolution_kernel : 0.003528 
convolution_kernel : 0.002943 
convolution_kernel : 0.002804 
convolution_kernel : 0.004043 
convolution_kernel : 0.004492 
convolution_kernel : 0.004672 
convolution_kernel : 0.005047 
convolution_kernel : 0.008416 
convolution_kernel : 0.006725 
convolution_kernel : 0.006566 
convolution_kernel : 0.006424 
convolution_kernel : 0.003429 
convolution_kernel : 0.003498 
convolution_kernel : 0.003322 
convolution_kernel : 0.003167 
convolution_kernel : 0.005182 
convolution_kernel : 0.005373 
convolution_kernel : 0.005466 
convolution_kernel : 0.005666 
convolution_kernel : 0.006381 
convolution_kernel : 0.006042 
convolution_kernel : 0.005035 
convolution_kernel : 0.004921 
convolution_kernel : 0.004696 
convolution_kernel : 0.003516 
convolution_kernel : 0.003449 
convolution_kernel : 0.004033 
convolution_kernel : 0.004281 
convolution_kernel : 0.004203 
convolution_kernel : 0.003620 
convolution_kernel : 0.003539 
convolution_kernel : 0.003345 
convolution_kernel : 0.003342 
convolution_kernel : 0.003164 
convolution_kernel : 0.002666 
convolution_kernel : 0.004018 
convolution_kernel : 0.004297 
convolution_kernel : 0.004820 
convolution_kernel : 0.005518 
convolution_kernel : 0.005435 
convolution_kernel : 0.004915 
convolution_kernel : 0.004558 
convolution_kernel : 0.004973 
convolution_kernel : 0.005492 
convolution_kernel : 0.005582 
convolution_kernel : 0.005531 
convolution_kernel : 0.005045 
convolution_kernel : 0.005739 
convolution_kernel : 0.005078 
convolution_kernel : 0.004656 
convolution_kernel : 0.004800 
convolution_kernel : 0.004172 
convolution_kernel : 0.003574 
convolution_kernel : 0.003371 
convolution_kernel : 0.003334 
convolution_kernel : 0.003494 
convolution_kernel : 0.003312 
convolution_kernel : 0.003357 
convolution_kernel : 0.003297 
convolution_kernel : 0.003300 
convolution_kernel : 0.003195 
convolution_kernel : 0.003761 
convolution_kernel : 0.003316 
convolution_kernel : 0.004042 
convolution_kernel : 0.005166 
convolution_kernel : 0.005052 
convolution_kernel : 0.005987 
convolution_kernel : 0.005505 
convolution_kernel : 0.005569 
convolution_kernel : 0.005093 
convolution_kernel : 0.005765 
convolution_kernel : 0.005116 
convolution_kernel : 0.005615 
convolution_kernel : 0.005631 
convolution_kernel : 0.005384 
convolution_kernel : 0.004699 
convolution_kernel : 0.005101 
convolution_kernel : 0.004357 
convolution_kernel : 0.003679 
convolution_kernel : 0.003639 
convolution_kernel : 0.002892 
convolution_kernel : 0.002902 
convolution_kernel : 0.002524 
convolution_kernel : 0.002492 
convolution_kernel : 0.002594 
convolution_kernel : 0.003259 
convolution_kernel : 0.004205 
convolution_kernel : 0.004158 
convolution_kernel : 0.004880 
convolution_kernel : 0.005515 
convolution_kernel : 0.005088 
convolution_kernel : 0.004967 
convolution_kernel : 0.006294 
convolution_kernel : 0.005190 
convolution_kernel : 0.005092 
convolution_kernel : 0.004956 
convolution_kernel : 0.005815 
convolution_kernel : 0.005837 
convolution_kernel : 0.005673 
convolution_kernel : 0.005608 
convolution_kernel : 0.005687 
convolution_kernel : 0.005540 
convolution_kernel : 0.004509 
convolution_kernel : 0.004277 
convolution_kernel : 0.004242 
convolution_kernel : 0.003629 
convolution_kernel : 0.002706 
convolution_kernel : 0.002671 
convolution_kernel : 0.002580 
convolution_kernel : 0.002531 
convolution_kernel : 0.002622 
convolution_kernel : 0.002516 
convolution_kernel : 0.002977 
convolution_kernel : 0.004195 
convolution_kernel : 0.004774 
convolution_kernel : 0.006508 
convolution_kernel : 0.006065 
convolution_kernel : 0.006165 
convolution_kernel : 0.005588 
convolution_kernel : 0.004920 
convolution_kernel : 0.004510 
convolution_kernel : 0.004516 
convolution_kernel : 0.005301 
convolution_kernel : 0.005142 
convolution_kernel : 0.005157 
convolution_kernel : 0.006945 
convolution_kernel : 0.007000 
convolution_kernel : 0.004844 
convolution_kernel : 0.004573 
convolution_kernel : 0.004451 
convolution_kernel : 0.004427 
convolution_kernel : 0.003631 
convolution_kernel : 0.002882 
convolution_kernel : 0.002643 
convolution_kernel : 0.002610 
convolution_kernel : 0.003302 
convolution_kernel : 0.003251 
convolution_kernel : 0.003271 
convolution_kernel : 0.003262 
convolution_kernel : 0.003933 
convolution_kernel : 0.004117 
convolution_kernel : 0.005894 
convolution_kernel : 0.005325 
convolution_kernel : 0.005232 
convolution_kernel : 0.005065 
convolution_kernel : 0.005435 
